"places";"postcode"
"Abtsbessingen,Allmenhausen,Bellstedt,Billeben,Dietenborn,Ebeleben,Freienbessingen,Friedrichsrode,Großberndten,Großbrüchter,Gundersleben,Himmelsberg,Hohenebra,Holzsußra,Holzthaleben,Immenrode,Keula,Kleinberndten,Kleinbrüchter,Niederspier,Peukendorf,Rockensußra,Rockstedt,Schernberg,Straußberg,Thalebra,Thüringenhausen,Toba,Wenigenehrich,Wiedermuth,Wolferschwenda,Zaunröden";"99713"
"Abtsdorf,Dabrun,Dietrichsdorf,Eutzsch,Mochau,Mühlanger,Pratau,Seegrehna,Zörnigall";"06888"
"Abtsgmünd,Algishofen,Brandhof,Fach,Fuchshäusle,Langenhalde,Langenhalde,Mühlholz,Obersiegenbühl,Rötenbach,Schlauchhof,Schleifhäusle,Suhhaus,Wahlenhalden,Zanken";"73453"
"Abtsteinach";"69518,69518"
"Abtswind,Castell,Kleinlangheim,Rüdenhausen,Wiesenbronn";"97355"
"Abtweiler,Lauschied,Staudernheim";"55568"
"Achberg,Hugelitz";"88147"
"Achen,Durrhausen,Eck,Englstetten,Eßbaum,Evenhausen,Feichten,Freinberg,Froitshub,Furth,Grub,Halmannsöd,Hatthal,Hinterholzmühle,Hofstätt,Hohenöd,Hub,Kirchensur,Lacken,Leiteneck,Lindach,Locking,Mais,Osendorf,Pfaffing,Reit, Gem Kirchensur,Ried,Schachen,Scherer,Seeleiten,Spittersberg,Stephanskirchen,Streit,Surau,Unteröd,Unterstreit,Vorderholzmühle,Weitmoos,Wimpasing";"83552"
"Achern";"77855,77855"
"Achim";"28832,28832"
"Achim,Börßum,Cramme,Dorstadt,Flöthe,Heiningen,Ohrum";"38312"
"Achslach";"94250,94250"
"Achstetten";"88480,88480"
"Acht,Anschau,Arft,Baar,Bermel,Boos,Ditscheid,Ettringen,Geisbüschhof,Herresbach,Heunenhof,Hirten,Kehrig,Kirchwald,Langenfeld,Langscheid,Lind,Luxem,Mimbach,Monreal,Münk,Nachtsheim,Neu Virneburg,Nitz,Siebenbach,Virneburg,Weiler,Welschenbach,Wüsteratherhof";"56729"
"Achterspannerhof,Ochtendung,Sackenheimerhof,Sürzerhof";"56299"
"Achterwehr";"24239,24239"
"Achtrup,Enge-Sande,Leck,Sprakebüll,Stadum,Tinningstedt";"25917"
"Ackendorf,Alleringersleben,Altenhausen,Bartensleben,Bebertal,Beendorf,Bornstedt,Bregenstedt,Eimersleben,Emden,Erxleben,Groß Santersleben,Hakenstedt,Hillersleben,Hundisburg,Ivenrode,Morsleben,Nordgermersleben,Ostingersleben,Rottmersleben,Schackensleben,Schwanefeld,Süplingen,Uhrsleben";"39343"
"Ackermannshof,Altgersdorf,Altglietzen,Altlewin,Altmädewitz,Altreetz,Alttrebbin,Altwustrow,Bad Freienwalde,Beerbaum,Beiersdorf,Bralitz,Broichsdorf,Brunow,Cöthen,Dannenberg,Falkenberg,Freudenberg,Friedrichshof,Gratze,Güstebieser Loose,Heckelberg,Hohenwutzen,Kruge,Leuenberg,Neuenhagen,Neugersdorf,Neukietz b Wriezen,Neuküstrinchen,Neulewin,Neulietzegöricke,Neumädewitz,Neureetz,Neurüdnitz,Neuwustrow,Schiffmühle,Steinbeck,Tiefensee,Wölsickendorf-Wollenberg,Zäckericker Loose";"16259"
"Adamshoffnung,Göhren-Lebbin,Grüssow,Kogel,Lexow,Malchow,Penkow";"17213"
"Addebüll,Bargum,Langenhorn,Lütjenholm,Ockholm";"25842"
"Adelberg";"73099,73099"
"Adelebsen";"37139,37139"
"Adelhausen,Dingsleben,Eishausen,Gleichamberg,Heßberg,Hildburghausen,Linden,Massenhausen,Reurieth,Seidingstadt,Sophienthal,Steinfeld,Stressenhausen,Streufdorf";"98646"
"Adelheidsdorf";"29352,29352"
"Adelmannsfelden";"73486,73486"
"Adelschlag";"85111,85111"
"Adelsdorf,Bauda,Blochwitz,Böhla,Brockwitz,Brößnitz,Dobra,Dobra Bad,Ebersbach,Fasanerie,Görzig,Kleinnaundorf,Kleinthiemig,Krauschütz,Kraußnitz,Lampertswalde,Liega,Nasseböhla,Niegeroda,Oelsnitz,Priestewitz,Quersa,Schönborn,Schönfeld,Skäßchen,Skaup,Strauch,Stroga,Tauscha,Thiendorf,Treugeböhla,Uebigau,Walda,Weißig a Raschütz,Wildenhain,Würschnitz,Zabeltitz,Zschorna";"01561"
"Adelsdorf";"91325,01561"
"Adelsheim";"74740,74740"
"Adelshofen";"82276,91587,82276,91587"
"Adelsried";"86477,86477"
"Adelzhausen";"86559,86559"
"Adenau,Herschbroich,Honerath,Kottenborn,Kottenbornermühle,Leimbach,Quiddelbach,Wimbach";"53518"
"Adenbach,Bösodenbacherhof,Buborn,Deimberg,Ginsweiler,Hausweiler,Heinzenhausen,Herren-Sulzbach,Lauterecken,Schönbornerhof";"67742"
"Adenbüttel";"38528,38528"
"Adendorf";"21365,21365"
"Adenstedt,Almstedt,Eberholzen,Sibbesse,Westfeld";"31079"
"Aderstedt,Baalberge,Biendorf,Cörmigk,Gröna,Ilberstedt,Latdorf,Peißen,Poley,Preußlitz,Wohlsdorf,Zepzig";"06408"
"Aderstedt,Dingelstedt,Eilenstedt,Eilsdorf,Schlanstedt";"38838"
"Adlersteige,Ellwangen";"73479"
"Adligstadt,Andrichstadt,Atzlbach,Au,Bach,Diepoltstatt,Fuchssteig,Gierstling,Graben,Grabenhäusl,Grub,Gschwend,Hinterleiten,Hinterloh,Hochhorn,Hörbering,Kendl,Knappenfeld, Gem Surberg,Krainwinkl,Lehen in Surberg,Lerchen,Loch,Mauerreuten,Mitterleiten,Mitterstatt,Mühlpoint,Neukirchen,Oberachthal,Oberhöhenwald,Oberreut,Point,Rainer,Roll,Schnaidt,Schütz,Schwammgraben,Schwarzenberg,Spittenreut,Sprung,Stadl,Strußberg,Surbergbichl,Vorderleiten,Vorderloh,Wald,Weitwies, Gem Neukirchen,Wetzelsberg,Wildberg";"83364"
"Adlkofen,Adlkofen";"84166"
"Admannshagen-Bargeshagen,Bahrenhorst,Börgerende,Ehbruch,Forsthaus Ivendorf,Ivendorf,Neu Rethwisch,Ostseebad Nienhagen,Rethwisch,Retschow,Retschow Waldsiedlung";"18211"
"Adorf,Eichigt,Gettengrün,Hermsgrün,Leubetha,Marieney,Rebersreuth,Unterwürschnitz,Wohlbach";"08626"
"Aebtissinwisch,Büttel,Ecklak,Kudensee,Landscheide,Oberstenwehr,Sankt Margarethen,Vaalerfeld";"25572"
"Aerzen";"31855,31855"
"Affalterbach,Siegelhausen";"71563"
"Affing";"86444,86444"
"Affinghausen,Sudwalde";"27257"
"Affler,Dahnen,Daleiden,Dasburg,Irrhausen,Jucken,Kickeshausen,Olmscheid,Preischeid,Reipeldingen,Steinrausch,Übereisenbach";"54689"
"Aftholderbach,Bettendorf,Diethardt,Endlichhofen,Hunzel,Kehlbach,Lautert,Nastätten,Oberbachheim,Schneidmühle,Weidenbach,Winterwerb";"56355"
"Agathenburg,Stade";"21684"
"Aglasterhausen";"74858,74858"
"Aham";"84168,84168"
"Ahaus";"48683,48683"
"Ahausen,Bötersen,Hassendorf,Hellwege,Horstedt,Reeßum,Sottrum";"27367"
"Ahlbeck,Altwarp,Grambin,Hintersee,Hoppenwalde,Leopoldshagen,Liepgarten,Luckow,Meiersberg,Mönkebude,Rieth,Vogelsang-Warsin";"17375"
"Ahlden,Böhme,Eickeloh,Hademstorf,Hodenhagen,Krelinger Bruch";"29693"
"Ahlefeld,Brekendorf,Owschlag,Stenten";"24811"
"Ahlen";"59227,59229,59227,59229"
"Ahlerstedt";"21702,21702"
"Ahlsdorf,Arnsnesta,Bernsdorf,Borken,Brandis,Dubro,Friedersdorf,Gräfendorf,Grassau,Herzberg,Jeßnigk,Mahdel,Osteroda,Polzen,Rahnisdorf,Schönewalde,Stolzenhain,Werchau,Wildberg";"04916"
"Ahlsdorf,Hergisdorf,Wimmelburg";"06313"
"Ahlstädt,Altendambach,Bischofrod,Breitenbach,Eichenberg,Erlau,Hinternah,Hirschbach,Schleusingen,Schleusingerneundorf,St. Kilian";"98553"
"Ahlum,Beetzendorf,Hanum,Hohentramm,Jeeben,Jübar,Lüdelsen,Mellin,Nettgau,Rohrberg,Tangeln";"38489"
"Ahnatal";"34292,34292"
"Ahneby,Sterup";"24996"
"Ahnsbeck";"29353,29353"
"Ahnsen";"31708,31708"
"Aholfing";"94345,94345"
"Aholming";"94527,94527"
"Ahorn";"74744,96482,74744,96482"
"Ahorntal";"95491,95491"
"Ahrain,Angl,Aschbach,Bach,Bichl,Briefer,Deining,Ehgarten,Eyrain,Furt,Großhub,Großschönau,Grub,Grund,Grundbach,Harraß,Hatzl,Heißkistler,Hilgenrain,Hinterholz,Hofreuth,Kalten,Kleinhub,Köck,Kolmberg,Lehermann,Loder,Moos,Moosweber,Neuradthal,Niklasreuth,Oberkretzach,Offenstätter,Radthal,Riedl,Schlosser,Sonnenreuth,Starzberg,Streitau,Wartbichl,Wiedmann,Wieser,Windwart,Wörnsmühl,Zieglhaus";"83739"
"Ahrbrück,Heckenbach,Hönningen,Kesseling,Lind,Rech";"53506"
"Ahrensbök,Jeshop";"23623"
"Ahrensburg";"22926,22926"
"Ahrensdorf,Genshagen,Gröben,Großbeuthen,Kerzendorf,Löwenbruch,Ludwigsfelde,Märkisch Wilmersdorf,Siethen,Thyrow,Wietstock";"14974"
"Ahrensdorf,Behrensdorf,Dahmsdorf,Diensdorf-Radlow,Glienicke,Hartensdorf,Herzberg,Krachtsheide,Limsdorf,Lindenberg,Wendisch Rietz";"15864"
"Ahrensfelde,Blumberg,Eiche,Hirschfelde,Krummensee,Löhme,Mehrow,Schönfeld,Seefeld,Weesow,Werneuchen,Willmersdorf";"16356"
"Ahrenshagen,Balkenkoppel,Buchenhorst,Daskow,Eickhof,Gruel,Langenhanshagen,Langenhanshagen Heide,Neuenlübke,Neuenrost,Prusdorf,Schlemmin,Todenhagen,Tribohm,Trinwillershagen,Wiepkenhagen";"18320"
"Ahrenshöft,Bohmstedt,Drelsdorf";"25853"
"Ahrenstedt,Fockbek";"24787"
"Ahrenviöl,Ahrenviölfeld,Immenstedt,Oster-Ohrstedt,Wester-Ohrstedt";"25885"
"Aicha,Gottholling,Kerschbaum,Weiding";"94529"
"Aichach";"86551,86551"
"Aichat,Anger,Ast,Biebing,Eichbichl,Eschenlohe,Gersdorf,Hagenberg,Heimgarten,Kleinaschau,Moosen,Oed,Ried,Schaurach,Tegernau,Wimpersing";"83565"
"Aichberg,Aichwies,Amselgraben,Burgstall,Dobelgraben,Eglsee,Enzersdorf,Fürst,Gänsberg,Greinach,Heinrichsdorf,Hellmannsberg,Hoggen,Horn,Kirchhalling,Köpfelsberg,Madreut,Oberdoblmühle,Oberhalling,Obermoosen,Oberwendling,Panolsreut,Ramgraben,Riendlhäusl,Ruhsdorf,Scharling,St Leonhard,Sträubl,Untermoosen,Unterwendling,Waging,Weißbach,Wonneberg";"83329"
"Aichelberg";"73101,73101"
"Aichen";"86479,86479"
"Aichhalden,Breitreute,Neuhaus";"78733"
"Aichstetten";"88317,88317"
"Aichtal";"72631,72631"
"Aichwald";"73773,73773"
"Aidenbach,Aldersbach,Beutelsbach,Freudenheim,Mairing";"94501"
"Aidhausen";"97491,97491"
"Aidlingen";"71134,71134"
"Aiglsbach";"84089,84089"
"Ailertchen,Bellingen,Berzhahn,Brandscheid,Elbingen,Gemünden,Girkenroth,Guckheim,Hammermühle,Harschbacherfeld,Härtlingen,Kaden,Kölbingen,Langenhahn,Mähren,Pottum,Rotenhain,Rothenbach,Stahlhofen,Stockum-Püschen,Weltersburg,Westert,Willmenrod,Winnen";"56459"
"Aindling,Todtenweis";"86447"
"Ainring";"83404,83404"
"Aislingen";"89344,89344"
"Aiterhofen,Salching";"94330"
"Aitern,Böllen,Fröhnd,Schönau,Schönenberg,Tunau,Wembach";"79677"
"Aiteröd,Vilsbiburg";"84137"
"Aitrach";"88319,88319"
"Aitrang";"87648,87648"
"Aitzendorf,Arras,Dittmannsdorf,Erlbach,Geringswalde,Holzhausen,Koltzschen";"09326"
"Aken";"06385,06385"
"Alach,Alach,Bahnhof Zimmernsupra-Töttelstädt,Bahnhof Zimmernsupra-Töttelstädt,Bienstädt,Dachwig,Döllstädt,Gierstädt,Großfahner,Salomonsborn,Salomonsborn,Töttelstädt,Töttelstädt,Zimmernsupra";"99100"
"Albaching";"83544,83544"
"Albbruck";"79774,79774"
"Albernhof,Almosmühle,Ast,Eschlhof,Geigant,Haschaberg,Häuslarn,Hirschhöf,Kritzenast,Sinzendorf,Waldmünchen";"93449"
"Albersdorf,Bobeck,Bollberg,Bremsnitz,Eineborn,Geisenhain,Gneus,Großbockedra,Karlsdorf,Kleinbockedra,Kleinebersdorf,Laasdorf,Lippersdorf-Erdmannsdorf,Meusebach,Möckern,Mörsdorf,Oberbodnitz,Ottendorf,Quirla,Rattelsdorf,Rausdorf,Renthendorf,Ruttersdorf-Lotschen,Scheiditz,Schlöben,Schöngleina,Stadtroda,Tautendorf,Tissa,Tröbnitz,Trockenborn-Wolfersdorf,Unterbodnitz,Waldeck,Waltersdorf,Weißbach";"07646"
"Albersdorf,Arkebek,Bunsoh,Grünental,Immenstedt,Offenbüttel,Osterrade,Riesewohld,Tensbüttel-Röst,Wennbüttel";"25767"
"Albershausen";"73095,73095"
"Albersroda,Barnstädt,Gatterstädt,Grockstädt,Kuckenburg,Langeneichstädt,Leimbach,Nemsdorf-Göhrendorf,Obhausen,Oechlitz,Querfurt,Schmon,Steigra,Vitzenburg,Weißenschirmbach,Ziegelroda";"06268"
"Alberstedt,Esperstedt,Farnstädt,Schraplau";"06279"
"Albersweiler,Dernbach,Eußerthal,Gossersweiler-Stein,Hoecker, Haus,Münchweiler,Neumühle,Ramberg,Rinnthal,Silz,Taubensuhl,Völkersweiler,Waldeck,Waldhambach,Waldrohrbach,Wernersberg";"76857"
"Alberthofen,Berod,Borod,Brubbach,Fluterschen,Mudenbach,Niederwambach,Oberwambach,Ratzert,Steimel,Stürzelbach,Wahlrod,Woldert";"57614"
"Albertinenhof,Altfriesack,Basdorf,Braunsberg,Buchenhaus,Dabergotz,Darritz,Darsikow,Deutschhof,Frankendorf,Gnewikow,Gühlen Glienicke,Karwe,Katerbow,Kränzlin,Kuhhorst,Langen,Lichtenberg,Netzeband,Neu Glienicke,Pfalzheim,Radensleben,Rägelin,Rheinsberg Glienicke,Ribbeckshorst,Storbeck,Tornow,Wahlendorf,Wall,Walsleben,Werder,Wustrau,Wuthenow,Ziethenhorst";"16818"
"Albertinenhof,Banzin,Bennin,Dersenow,Goldenbow,Kloddram,Marsow,Rodenwalde,Schildfeld,Tüschow,Vellahn,Vietow";"19260"
"Albertshofen,Buchbrunn,Großlangheim,Mainstockheim,Sulzfeld";"97320"
"Albessen,Dennweiler-Frohnbach,Ehweiler,Etschberg,Haschbach,Herchweiler,Konken,Körborn,Oberalben,Pfeffelbach,Reichweiler,Selchenbach,Thallichtenberg,Theisbergstegen";"66871"
"Albig,Bechenheim,Bechtolsheim,Bermersheim,Biebelnheim,Dintesheim,Eppelsheim,Erbes-Büdesheim,Esselborn,Flomborn,Framersheim,Freimersheim,Gau-Heppenheim,Hangen-Weisheim,Hochborn,Kettenheim,Monzernheim,Nack,Nieder-Wiesen,Ober-Flörsheim,Offenheim,Wahlheim,Wendelsheim";"55234"
"Albisheim,Biedesheim,Bubenheim,Einselthum,Immesheim,Kleinmühle,Lautersheim,Ottersheim,Rüssingen,Wiesenmühle,Zellertal";"67308"
"Albrechts,Albrechts,Suhl";"98529"
"Albrechtshof,Arendsee,Bertikow,Bietikow,Blankenburg,Blindow,Carmzow,Damme,Dauer,Dedelow,Drense,Eickstedt,Falkenhagen,Falkenwalde,Ferdinandshorst,Fürstenwerder,Gollmitz,Göritz,Gramzow,Grenz,Grünow,Güstow,Hohengüstow,Holzendorf,Kleinow,Klinkow,Kraatz,Ludwigsburg,Lützlow,Meichow,Naugarten,Parmen-Weggun,Potzlow,Prenzlau,Röpersdorf,Schapow,Schenkenberg,Schmölln,Schönermark,Schönfeld,Schönwerder,Schwaneberg,Seehausen,Sternhagen,Wallmow,Warnitz,Weselitz,Wollin,Ziemkendorf";"17291"
"Albsfelde,Bäk,Farchau,Farchauermühle,Fredeburg,Giesensdorf,Hundebusch,Mechow,Ratzeburg,Römnitz,Sande,Söhren,Weißer Hirsch";"23909"
"Albstadt,Linderhof";"72458"
"Albstadt";"72459,72461,72458"
"Aldenhoven";"52457,52457"
"Aldingen,Erlenmühle,Michelhölzle";"78554"
"Alerheim";"86733,86733"
"Alesheim";"91793,91793"
"Aletshausen,Waltenhausen";"86480"
"Alf,Bullay,Weidenhell";"56859"
"Alfdorf,Birkhof,Haselbach-Söldhaus,Haselbach-Söldhaus,Ölmühle,Schillinghof,Voggenmühlhöfle";"73553"
"Alfeld";"31061,91236,31061,91236"
"Alfhausen";"49594,49594"
"Alflen";"56828,56828"
"Alfstedt,Basdahl,Bremervörde,Ebersdorf,Hipstedt,Malse,Oerel";"27432"
"Alfter";"53347,53347"
"Algenstedt,Berenbrock,Berge,Breitenfeld,Dorst,Engersen,Estedt,Gardelegen,Hemstedt,Hottendorf,Jävenitz,Jerchel,Jeseritz,Kassieck,Kloster Neuendorf,Klüden,Letzlingen,Lindstedt,Potzehne,Roxförde,Schenkenhorst,Schwiesau,Seethen,Solpke,Wannefeld,Wiepke,Zichtau,Zobbenitz";"39638"
"Algermissen";"31191,31191"
"Algertshausen,Greifenberg,Pflaumdorf";"86926"
"Algesbüttel,Ribbesbüttel";"38551"
"Alheim";"36211,36211"
"Alikendorf,Groß Germersleben,Hadmersleben,Klein Oschersleben,Kleinalsleben,Peseckendorf";"39398"
"Alken,Brodenbach,Burgen,Dieblich,Franzenmühle,Gastemühle,Grüne Mühle,Hatzenport,Lehmen,Löf,Mohrenmühle,Niederfell,Oberfell,Rosenhof,Schwalberhof,Wolken";"56332"
"Alkersleben,Arnstadt,Bösleben-Wüllersleben,Dornheim,Hohes Kreuz,Osthausen-Wülfershausen,Wachsenburggemeinde,Wipfratal,Witzleben";"99310"
"Alkersum,Borgsum,Dunsum,Midlum,Nieblum,Oevenum,Oldsum,Süderende,Utersum,Witsum,Wrixum,Wyk";"25938"
"Allenbach,Asbach,Asbacherhütte,Bärenbach,Breitenthal,Bruchweiler,Dickesbach,Hammerbirkenfeld,Harfenmühle,Hellertshausen,Herborn,Hettenrodt,Hottenbach,Kempfeld,Langweiler,Mackenrodt,Mittelreidenbach,Mörschied,Niederhosenbach,Niederwörresbach,Oberhosenbach,Oberreidenbach,Oberwörresbach,Schauren,Schmidthachenbach,Sensweiler,Sien,Sienhachenbach,Sonnschied,Stipshausen,Sulzbach,Veitsrodt,Vollmersbach,Weiden,Wickenrodt,Wirschweiler";"55758"
"Allendorf,Aschau,Bechstedt,Dröbischau,Köditzberg,Königsee,Oberhain,Unterhain";"07426"
"Allendorf";"35108,35469,07426"
"Allendorf,Attenhausen,Berndroth,Biebrich,Bremberg,Dörsdorf,Ebertshausen,Eisighofen,Gutenacker,Kördorf,Mittelfischbach,Oberfischbach,Reckenroth,Rettert,Schönborn,Wasenbach";"56370"
"Allenfeld,Argenschwang,Bockenau,Boos,Braunweiler,Burgsponheim,Dalberg,Gebroth,Gutenberg,Hargesheim,Hüffelsheim,Mandel,Münchwald,Roxheim,Sankt Katharinen,Sommerloch,Spabrücken,Spall,Sponheim,Traisen,Wallhausen,Weinsheim,Winterbach,Winterburg";"55595"
"Allensbach";"78476,78476"
"Allersberg";"90584,90584"
"Allersdorf,Altenfeld,Böhlen,Friedersdorf,Gillersdorf,Großbreitenbach,Herschdorf,Neustadt,Wildenspring,Willmersdorf";"98701"
"Allershausen";"85391,85391"
"Alleshausen,Bad Buchau,Betzenweiler,Dürnau,Kanzach,Moosburg,Oggelshausen,Seekirch,Tiefenbach";"88422"
"Alling";"82239,82239"
"Allmannshofen,Nordendorf";"86695"
"Allmannsweiler,Bad Saulgau";"88348"
"Allmendingen";"89604,89604"
"Allmersbach";"71573,71573"
"Allmosen,Bahnsdorf,Dörrwalde,Freienhufen,Großräschen,Woschkow";"01983"
"Allrode,Bad Suderode,Friedrichsbrunn,Gernrode,Güntersberge,Rieder,Siptenfelde,Stecklenberg";"06507"
"Allstedt,Katharinenrieth,Mittelhausen,Niederröblingen,Nienstedt,Winkel,Wolferstedt";"06542"
"Almdorf,Bordelumsiel,Bredstedt,Breklum,Brommelund,Dörpum,Dörpumfeld,Glücksburg,Reußenköge,Sönnebüll,Struckum,Vollstedt";"25821"
"Almersbach,Altenkirchen,Bachenberg,Gieleroth,Ingelbach,Michelbach";"57610"
"Alpen";"46519,46519"
"Alpenrod";"57642,57642"
"Alperstedt,Eckstedt,Großrudestedt,Kleinrudestedt,Kranichborn,Markvippach,Mittelhausen,Mittelhausen,Nöda,Riethnordhausen,Schloßvippach,Schwansee,Schwerborn,Schwerborn,Stotternheim,Stotternheim";"99195"
"Alpirsbach";"72275,72275"
"Alsau,Arnsau,Breitscheid,Dattenberg,Girgenrath,Grübelsberg,Hausen,Heeg,Hümmerich,Kasbach-Ohlenberg,Krumscheid,Leubsdorf,Reidenbruch,Roßbach";"53547"
"Alsbach,Breitenau,Caan,Deesen,Nauort,Oberhaid,Sessenbach,Wirscheid,Wittgert";"56237"
"Alsbach-Hähnlein";"64665,64665"
"Alsdorf";"52477,52477"
"Alsdorf,Diesburgerhof,Echternacherbrück,Ernzen,Ferschweiler,Holsthum,Kaschenbach,Neu-Diesburgerhof,Niederweis,Peffingen,Prümzurlay,Schankweiler";"54668"
"Alsdorf,Betzdorf,Steineroth";"57518"
"Alsenz,Oberndorf";"67821"
"Alsfeld,Hardtmühle";"36304"
"Alsheim";"67577,67577"
"Alsleben,Beesenlaublingen,Belleben,Plötzkau,Schackstedt,Strenznaundorf";"06425"
"Alt Bennebek,Boklund,Großrheider Ausbau,Großrheiderfeld,Klein Bennebek,Klein Rheide,Kropp,Mielberg";"24848"
"Alt Bork,Borkheide,Borkwalde,Brachwitz,Brück,Cammer,Damelang,Deutsch Bork,Freienthal,Gömnigk,Jeserig,Linthe,Neuendorf b Brück,Nichel,Niederwerbig,Schlalach,Trebitz";"14822"
"Alt Brieselang,Brieselang";"14656"
"Alt Bukow,Bolland,Clausdorf,Garvensdorf,Jörnstorf,Kamin,Kirch Mulsow,Krempin,Neubukow,Parchow,Pepelow,Rakow,Ravensberg,Sandhagen,Sandhagen Abbau,Steinhagen,Teßmannsdorf,Uhlenbrook,Westenbrügge,Zarfzow";"18233"
"Alt Duvenstedt,Neu Duvenstedt-Nord";"24791"
"Alt Golm,Bad Saarow-Pieskow,Neu Golm,Reichenwalde";"15526"
"Alt Jabel,Dömitz,Heidhof,Neu Jabel,Polz,Rüterberg,Tewswoos,Vielank,Woosmer";"19303"
"Alt Karin,Altenhagen,Danneborth,Einhusen,Groß Siemen,Kröpelin,Neu Karin,Schmadebeck";"18236"
"Alt Kätwin,Diekhof,Groß Ridsenow,Hohen Sprenz,Korleput,Laage,Liessow,Pölitz,Sabel,Striesdorf,Wardow,Weitendorf";"18299"
"Alt Krenzlin,Fahrbinde,Glaisin,Göhlen,Groß Laasch,Klein Krams,Krenzliner Hütte,Kummer,Leussow,Lüblow,Ludwigslust,Neu Lüblow,Warlow,Wöbbelin";"19288"
"Alt Krüssow,Beveringen,Biesterholz,Birkenfelde,Blumenthal,Boddin,Bölzke,Brügge,Brünkendorf,Buchholz,Buchhorst,Bullendorf,Dahlhausen,Ellershagen,Falkenhagen,Felsenhagen,Gerdshagen,Giesenhagen,Giesensdorf,Groß Langerwisch,Groß Pankow,Groß Woltersdorf,Hasenwinkel,Heidelberg,Helle,Holzländerhof,Hoppenrade,Horst,Kammermark,Kehrberg,Kemnitz,Kiebitzberg, Gem Beveringen,Klein Langerwisch,Klein Woltersdorf,Klenzenhof,Könkendorf,Kuckuck,Kuhbier,Kuhsdorf,Langnow,Lindenberg,Luggendorf,Mesendorf,Neu Kemnitz,Neu Krüssow,Neu Redlin,Neudorf,Neuhausen,Neuhof,Preddöhl,Pritzwalk,Rapshagen,Reckenthin,Rohlsdorf,Rosenwinkel,Sadenbeck,Sarnow,Schönebeck,Schönhagen,Schönhagener Mühle,Seefeld,Steffenshagen,Streckenthin,Tüchen,Vettin,Wilmersdorf";"16928"
"Alt Lanschvitz,Beuchow,Darsband,Insel Vilm,Putbus,Strachtitz";"18581"
"Alt Lutterow,Dorf Zechlin,Flecken Zechlin,Kagar,Luhme,Neu Lutterow,Wallitz,Zempow";"16837"
"Alt Madlitz,Arensdorf,Beerfelde,Berkenbrück,Braunsdorf,Briesen,Buchholz,Demnitz,Eggersdorf,Falkenberg,Hangelsberg,Hasenfelde,Heinersdorf,Jänickendorf,Kolpin,Langewahl,Neuendorf im Sande,Petersdorf,Rauen,Schönfelde,Steinhöfel,Tempelberg,Wilmersdorf";"15518"
"Alt Mahlisch,Diedersdorf,Dolgelin,Falkenhagen,Friedersdorf,Gusow,Libbenichen,Lietzen,Marxdorf,Neu Mahlisch,Niederjesar,Platkow,Sachsendorf,Seelow,Werbig,Worin";"15306"
